ProfileM	Shape_Leng	ORIG_FID	POINT_X	POINT_Z	POINT_Y
3882.465	227.7089991	1	845020.82	1365411.02	286.07
3882.465	227.7089991	1	845021.78	1365410.99	286.11
3882.465	227.7089991	1	845022.73	1365410.96	286.16
3882.465	227.7089991	1	845023.69	1365410.92	286.21
3882.465	227.7089991	1	845024.65	1365410.89	285.82
3882.465	227.7089991	1	845025.61	1365410.85	285.42
3882.465	227.7089991	1	845026.57	1365410.82	285.52
3882.465	227.7089991	1	845027.52	1365410.78	285.62
3882.465	227.7089991	1	845028.48	1365410.75	285.73
3882.465	227.7089991	1	845029.44	1365410.71	285.84
3882.465	227.7089991	1	845030.4	1365410.68	285.95
3882.465	227.7089991	1	845031.36	1365410.64	286.07
3882.465	227.7089991	1	845032.31	1365410.61	286.19
3882.465	227.7089991	1	845033.27	1365410.57	286.31
3882.465	227.7089991	1	845034.23	1365410.54	286.46
3882.465	227.7089991	1	845035.19	1365410.5	286.59
3882.465	227.7089991	1	845036.55	1365410.45	286.72
3882.465	227.7089991	1	845037.51	1365410.42	286.85
3882.465	227.7089991	1	845038.46	1365410.38	286.99
3882.465	227.7089991	1	845039.42	1365410.35	287.12
3882.465	227.7089991	1	845040.38	1365410.31	287.26
3882.465	227.7089991	1	845041.34	1365410.28	287.39
3882.465	227.7089991	1	845042.29	1365410.24	287.53
3882.465	227.7089991	1	845043.25	1365410.21	287.66
3882.465	227.7089991	1	845044.21	1365410.17	287.78
3882.465	227.7089991	1	845045.17	1365410.14	287.9
3882.465	227.7089991	1	845046.13	1365410.1	288.01
3882.465	227.7089991	1	845047.08	1365410.07	288.11
3882.465	227.7089991	1	845048.04	1365410.03	288.19
3882.465	227.7089991	1	845049	1365410	288.26
3848.057	174.4896194	2	844860	1365471	294.18
3848.057	174.4896194	2	844860.84	1365470.73	294.17
3848.057	174.4896194	2	844862.02	1365470.35	294.16
3848.057	174.4896194	2	844862.86	1365470.08	294.15
3848.057	174.4896194	2	844863.7	1365469.81	294.15
3848.057	174.4896194	2	844864.89	1365469.42	294.14
3848.057	174.4896194	2	844865.73	1365469.15	294.13
3848.057	174.4896194	2	844869.92	1365467.8	294.13
3848.057	174.4896194	2	844870.75	1365467.53	294.17
3848.057	174.4896194	2	844872.43	1365466.99	294.26
3848.057	174.4896194	2	844873.27	1365466.72	294.32
3848.057	174.4896194	2	844874.95	1365466.18	294.38
3848.057	174.4896194	2	844875.78	1365465.91	294.43
3848.057	174.4896194	2	844876.62	1365465.64	294.49
3848.057	174.4896194	2	844879.14	1365464.83	294.53
3848.057	174.4896194	2	844879.98	1365464.56	294.53
3848.057	174.4896194	2	844880.81	1365464.29	294.51
3848.057	174.4896194	2	844881.65	1365464.02	294.5
3848.057	174.4896194	2	844884.17	1365463.2	294.5
3848.057	174.4896194	2	844885	1365462.93	294.47
3848.057	174.4896194	2	844885.84	1365462.66	294.38
3848.057	174.4896194	2	844886.68	1365462.39	294.17
3848.057	174.4896194	2	844887.52	1365462.12	293.95
3848.057	174.4896194	2	844888.7	1365461.74	293.73
3848.057	174.4896194	2	844889.54	1365461.47	293.49
3848.057	174.4896194	2	844890.38	1365461.2	293.22
3848.057	174.4896194	2	844891	1365461	293.07
3848.057	174.4896194	2	844891.57	1365460.83	292.94
3848.057	174.4896194	2	844892.41	1365460.57	292.47
3848.057	174.4896194	2	844893.26	1365460.32	292.14
3848.057	174.4896194	2	844894.45	1365459.96	291.76
3848.057	174.4896194	2	844895.29	1365459.7	291.34
3848.057	174.4896194	2	844896.13	1365459.45	290.91
3848.057	174.4896194	2	844896.98	1365459.19	290.69
3848.057	174.4896194	2	844897.82	1365458.94	290.46
3848.057	174.4896194	2	844898.66	1365458.68	290
3848.057	174.4896194	2	844899.5	1365458.43	289.55
3848.057	174.4896194	2	844900.35	1365458.17	289.41
3848.057	174.4896194	2	844902.39	1365457.56	289.41
3848.057	174.4896194	2	844903.23	1365457.3	289.36
3848.057	174.4896194	2	844904.42	1365456.94	289.31
3848.057	174.4896194	2	844905.26	1365456.69	289.23
3848.057	174.4896194	2	844906.11	1365456.43	289.12
3848.057	174.4896194	2	844906.95	1365456.18	289.03
3848.057	174.4896194	2	844907.79	1365455.92	288.93
3848.057	174.4896194	2	844908.63	1365455.67	288.72
3848.057	174.4896194	2	844909.48	1365455.41	288.5
